title,original_title,year,genre,duration,country,language,director,writer,production_company,actors,description,avg_vote
La battaglia di Long Tan,Danger Close: The Battle of Long Tan,2019,"Action, Drama, War",118,Australia,English,Kriv Stenders,"Stuart Beattie, James Nicholas",Deeper Water,"Travis Fimmel, Toby Blome, Alexander England, Aaron Glenane, Uli Latukefu, Richard Te Are, Luke Bracey, Sean McCarthy, Mojean Aria, Ryan Hance, Jordan Abbey-Young, James Storer, Ben Esler, Anthony Hayes, Richard Roxburgh","In August 1966, in a Vietnamese rubber plantation called Long Tan, 108 young and inexperienced Australian and New Zealand soldiers are fighting for their lives against 2500 North Vietnamese and Viet Cong soldiers.",6.8
Era mio figlio,The Last Full Measure,2019,"Drama, War",116,USA,English,Todd Robinson,Todd Robinson,Foresight Unlimited,"Sebastian Stan, Alison Sudol, Asher Miles Fallica, LisaGay Hamilton, Bradley Whitford, William Hurt, Linus Roache, Jeremy Irvine, Eoin O'Brien, Christopher Plummer, Diane Ladd, Samuel L. Jackson, Jordan Preston Carter, Amy Madigan, Peter Fonda","Thirty-four years after his death, Airman William H. Pitsenbarger, Jr. (""Pits"") is awarded the nation's highest military honor, for his actions on the battlefield.",6.7
The Dirt,The Dirt,2019,"Biography, Comedy, Drama",107,USA,English,Jeff Tremaine,"Rich Wilkes, Amanda Adelson",10th Street Entertainment,"Machine Gun Kelly, Erin Ownbey, Douglas Booth, Aaron Jay Rome, Daniel Webber, Alyssa Marie Stilwell, Brittany Furlan, Iwan Rheon, Trace Masters, Matthew Underwood, Kathryn Morris, Vince Mattis, Mark Ashworth, Avis-Marie Barnes, Eleanor T. Threatt","Based on the bestselling autobiography from Mötley Crüe, the film is an unflinching tale of success and excess as four misfits rise from the streets of Hollywood to the heights of international fame.",7
Dirt Music,Dirt Music,2019,"Crime, Drama, Romance",105,"Australia, UK",English,Gregor Jordan,"Jack Thorne, Tim Winton",Wildgaze Films,"Kelly Macdonald, Garrett Hedlund, David Wenham, Aaron Pedersen, Dan Wyllie, Chris Haywood, George Mason, Ava Caryofyllis, Syd Brisbane, Jacob Clayton, Jessica Niven, Julia Stone, Fern Nicholson, Rikky Sharma, Kelly Belinda Hammond",The stunning landscape of Western Australia is the backdrop for an impassioned tale of love and grief in,5.2
Pet Sematary,Pet Sematary,2019,"Horror, Mystery, Thriller",101,"USA, Canada",English,"Kevin Kölsch, Dennis Widmyer","Stephen King, Matt Greenberg",Paramount Pictures,"Jason Clarke, Amy Seimetz, John Lithgow, Jeté Laurence, Hugo Lavoie, Lucas Lavoie, Obssa Ahmed, Alyssa Brooke Levine, Maria Herrera, Frank Schorpion, Linda E. Smith, Sonia Maria Chirila, Naomi Frenette, Suzi Stingl, Kelly Lee","Dr. Louis Creed and his wife, Rachel, relocate from Boston to rural Maine with their two young children. The couple soon discover a mysterious burial ground hidden deep in the woods near their new home.",5.7
Bolden,Bolden,2019,Drama,108,USA,English,Dan Pritzker,"Dan Pritzker, Dan Pritzker",King Bolden,"Gary Carr, Erik LaRay Harvey, Ian McShane, Michael Rooker, Yaya DaCosta, Reno Wilson, Robert Ri'chard, Karimah Westbrook, JoNell Kennedy, Kearia Schroeder, Serena Reeder, Krystal Farris, Christina Marie Karis, Terri Abney, Breon Pugh","A mythical account of the life of Buddy Bolden, the first Cornet King of New Orleans.",5.6
Un principe per Natale: Royal Baby,A Christmas Prince: The Royal Baby,2019,"Family, Romance",84,USA,English,John Schultz,"Karen Schaler, Nate Atkins",Netflix,"Rose McIver, Ben Lamb, Alice Krige, Honor Kneafsey, Kevin Shen, Momo Yeung, Sarah Douglas, Theo Devaney, Richard Ashton, Raj Bajaj, Crystal Yu, Andy Lucas, Tahirah Sharif, John Guerrasio, Joel McVeagh","It's Christmastime in Aldovia, and a royal baby is on the way. Amber and Richard host royals from a distant kingdom to renew a sacred truce, but when the treaty vanishes, peace is jeopardized and an ancient curse threatens their family.",5.3
Bull,Bull,2019,Drama,108,USA,English,Annie Silverstein,"Annie Silverstein, Johnny McAllister",Bert Marcus Productions,"Rob Morgan, Amber Havard, Yolonda Ross, Sara Allbright, Keira Bennett, Steven Boyd, Roishaun Davenport, Karla Garbelotto, Troy Anthony Hogan, Ashton Hughes, Rachel McClure, Reece McClure, Tadarius Billy Miles, Peggy Schott, Lee Stringer","In a near-abandoned subdivision west of Houston, a wayward teen runs headlong into her equally willful and unforgiving neighbor, an aging bullfighter who's seen his best days in the arena; it's a collision that will change them both.",6.7
Snatchers,Snatchers,2019,"Comedy, Horror, Sci-Fi",96,USA,English,"Stephen Cedars, Benji Kleiman","Stephen Cedars, Benji Kleiman",MAKE GOOD Content,"Mary Nepi, Gabrielle Elyse, J.J. Nolan, Austin Fryberger, Nick Gomez, Rich Fulcher, Ashley Argota, Amy Landecker, Logan Rogan, Alex Skinner, Amy Arburn, Gabriella Gourdin, David H. Stevens, Mark Sande, David Christian Welborn","After status-obsessed teen Sara has sex for the first time, she wakes up the next day nine months pregnant-with an alien.",5.7
Family Obligations,Family Obligations,2019,"Comedy, Drama",81,USA,English,Kenneth R. Frank,Kenneth R. Frank,In the Garage Productions,"Chris Mollica, Chandler Rosenthal, Frank Failla, Angelica Adams, Eleanor Brandle-Frank, Peppa Brandle-Frank, Grace Chan, Jerry Colpitts, Vinita Handa-Koller, Virginia Locke, Tucker Maloney, C. Boyd Motley, Brian Silliman",One man learns to die. Another man learns to live.,5.2
