,Observatory & Babcock,Linden & Babcock,Observatory & Charter,Linden & Henry,Linden & Charter,Observatory & Park,Park & University,Charter & University,Randall & University,Orchard & University,Mills & University,Brooks & University,Henry & University,Johnson & Randall,Randall & Dayton,Johnson & Orchard,Orchard & Dayton,Johnson & Charter,Mills & Johnson,Charter & Dayton,Mills & Dayton,Conklin & Mills,Clymer & Mills,Brooks & Johnson,Brooks & Dayton,Brooks & Conklin,Clymer & Brooks,Johnson & Park,Bernard & Dayton,Clymer & Bernard,Park & Clymer,Park & Dayton,Capital & Orchard,Capital & Charter,Spring & Orchard,Spring & Charter,College & Mills,College & Brooks,Fahrenbrook & Mills,Fahrenbrook & Brooks,Spring & Brooks,Spring & Mills,Capital & Coyne,Regent & Orchard,Regent & Charter,Regent & Mills,Regent & Brooks,Regent & Park,Fahrenbrook & Park,Spring & Park,Regent & Randall,Spring & Randall,College & Park,Regent & Coyne
Observatory & Babcock,,460,1900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Linden & Babcock,460,,,678,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Observatory & Charter,1900,,,,360,1703,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Linden & Henry,,678,,,1045,,,,,,,,622,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Linden & Charter,,,360,1045,,,,665,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Observatory & Park,,,1703,,,,1083,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Park & University,,,,,,1083,,,,,,473,,,,,,,,,,,,,,,,431,,,,,,,,,,,,,,,,,,,,,,,,,,
Charter & University,,,,,665,,,,,360,507,,,,,,,448,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Randall & University,,,,,,,,,,437,,,316,202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Orchard & University,,,,,,,,360,437,,,,,,,403,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mills & University,,,,,,,,507,,,,428,,,,,,,,,,232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brooks & University,,,,,,,473,,,,428,,,,,,,,,,,,,,,231,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Henry & University,,,,,,,,,316,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Johnson & Randall,,,,,,,,,202,,,,,,628,479,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Randall & Dayton,,,,,,,,,,,,,,628,,,442,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,522,,
Johnson & Orchard,,,,,,,,,,403,,,,479,,,,423,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Orchard & Dayton,,,,,,,,,,,,,,,442,,,,,440,,,,,,,,,,,,,,,523,,,,,,,,,,,,,,,,,,,
Johnson & Charter,,,,,,,,448,,,,,,,,423,,,436,416,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mills & Johnson,,,,,,,,,,,,,,,,,,436,,,,191,217,441,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Charter & Dayton,,,,,,,,,,,,,,,,,440,416,,,434,,,,,,,,,,,,,,,520,,,,,,,,,,,,,,,,,,
Mills & Dayton,,,,,,,,,,,,,,,,,,,,434,,,203,,415,,,,,,,,,,,,,,,,,523,,,,,,,,,,,,
Conklin & Mills,,,,,,,,,,,232,,,,,,,,191,,,,,,,440,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clymer & Mills,,,,,,,,,,,,,,,,,,,217,,203,,,,,,434,,,,,,,,,,,,,,,,,,,,,,,,,,,
